,Unnamed: 0,ProductId,Title,Description,Vendor,ProductType,Price,ImageURL,ProductURL
41,41,9343486099740,12 years a slave : A true story (Fingerprint) [Paperback] Solomon Northup,"AND WHAT DIFFERENCE IS THERE IN THE COLOUR OF THE SOUL? A hardworking farmer and an exceptional fiddler, Solomon Northup is born a free man of colour. He lives happily with his wife and children in Saratoga County, New York, until the day an employment offer at a circus changes his life. Tricked, drugged, and kidnapped, Northup gets sold as a slave. And for the twelve years that follow, he lives in bondage under different masters . . . A heart-rending memoir chronicling his fight for survival and freedom, Northup’s Twelve Years A Slave is one of the best slave narratives ever written. It was adapted into a historical drama film of the same name in 2013, which went on to win the Golden Globe Award for Best Motion Picture – Drama.",Solomon Northup,"Books › Biographies, Diaries & True Accounts › Biographies & Autobiographies",139.0,https://cdn.shopify.com/s/files/1/0868/3490/5372/files/51AV-8Y2i5L._SY445_SX342.jpg?v=1714994998,https://shopingai.myshopify.com/products/12-years-a-slave-a-true-story-fingerprint-paperback-solomon-northup
42,42,9343441994012,151 Essays,"BOOK STRUCTURE
1. Covers the entire syllabus in 11 parts 2. English quotes for general use
BOOK FEATURES
1. A collection of more than 160 essays on diverse topics  2. Well-structured for logical writing 2. Emphasizes contextual thinking 3. Important quotations at the end of the book
WHY THIS BOOK?
1. A complete guide to learning the art of essay writing 2. Panoramic coverage of various topics to understand modern issues 3. Prepared for IAS, State PCS, and other exams 4. All topics have been penned in a clear and easy language
TABLE OF CONTENT:
Contemporary issues, Social issues, Political Issues, Economic Issues, Science and Technology, Education, Health and Sports, Environmental Issues, Renowned Personalities, Proverbial &amp; Idiomatic, Miscellaneous, Important Quotations",S C Gupta,Books › Exam Preparation › Interview Preparation,301.0,https://cdn.shopify.com/s/files/1/0868/3490/5372/files/41W9E7G6LOL._SY445_SX342.jpg?v=1714994810,https://shopingai.myshopify.com/products/151-essays
43,43,9343438455068,151 Essays for IAS/ PCS & other Competitive Exams 3rd Edition,"151 Essays for IAS/ PCS &amp; Other Competitive Exams by Disha Publications is a comprehensive collection of essays meant for the first Essay Paper of the UPSC Mains exam as well as State PCSs and other competitive exams.Salient Features of the Book:
• The book has been based on two types of Essays – one Static &amp; other Current Affairs.
• It covers topics on Polity, Governance, Economy, Environment, Social Justice, Social Development, Social Challenges, Culture, Education, Science &amp; Technology, Philosophy and Many More.
• The book begins with the guidelines on developing the Craft of Essay Writing which includes the Selection of Topic, Planning, Introduction of a Topic, Body of the Topic, Inter-linking of Important thoughts and Conclusion.
• All Essay topics are relevant to the IAS/ PCS exams covering a complete theoretical guidance
• Each topic provides a broad perspective on the Issues &amp; Challenges regarding the current scenario in the country
• The book offers detailed knowledge of the topic, ideas for contextual writing, rich vocabulary to express and analytical skills to draw a conclusion.",Disha Experts,Books › Exam Preparation › Exams by UPSC,248.0,https://cdn.shopify.com/s/files/1/0868/3490/5372/files/5144rpMwINL._SY445_SX342.jpg?v=1714994792,https://shopingai.myshopify.com/products/151-essays-for-ias-pcs-other-competitive-exams-3rd-edition
44,44,9344829292828,17 MINUTI: L'Eternità non ha più fretta (Italian Edition),"17 minuti per attraversare una piccola città della provincia siciliana. 17 minuti per dare un calcio a un tempo che sembra non passare mai e che ci opprime con la sua immobilità. 17 minuti per dire addio a chi si ama. 
Un testo teatrale che mette in primo piano una classe di ragazzi. I loro sogni a metà strada fra l'entusiasmo adolescenziale e il disincanto verso un futuro che sembra non avere speranze da offrire. Il vuoto di valori rappresentato da un professore immaturo e vanesio e dai silenzi di adulti che hanno dimenticato il proprio ruolo nella società. Nessuna educazione, nessun esempio, nessun maestro per la nuova Europa. La scuola della vita si fa sul campo e la velocità è ormai l'ultimo dio. Correre, correre, correre sempre più veloce per non restare indietro. Andare avanti e non voltarsi è l'imperativo. Correre per inerzia senza chiedersi se c'è un traguardo è la scelta obbligata. E per chi si rifiuta di cedere al nuovo diktat dell'Era contemporanea non resta che la derisione del Mondo. 17 minuti basteranno per comprendere quale sia il senso della corsa? Chissà. Sicuramente serviranno a svelare che l'Eternità non ha più fretta. Finalmente.",Riccardo Leonelli,Books › Children's Books › Literature & Fiction,63.0,https://cdn.shopify.com/s/files/1/0868/3490/5372/files/51uvjUDsGhL._SY445_SX342.jpg?v=1715060895,https://shopingai.myshopify.com/products/17-minuti-leternita-non-ha-piu-fretta-italian-edition
45,45,9344814678300,1800+ Reward Stickers - Ideal For Teachers And Parents : Sticker Book With Over 1800 Stickers To Boost The Morale of Kids [Paperback] Wonder House Books,"The perfect reward sticker book to motivate children to learn good habits and maintain a positive behavior in school. With over 1800+ stickers ranging from colorful smiley faces to cute animals, the book will help encourage your child and reinforce positive habits.",Wonder House Books,Books › Children's Books › Literature & Fiction,169.0,https://cdn.shopify.com/s/files/1/0868/3490/5372/files/51wHbPZCsuL._SX342_SY445.jpg?v=1715060155,https://shopingai.myshopify.com/products/1800-reward-stickers-ideal-for-teachers-and-parents-sticker-book-with-over-1800-stickers-to-boost-the-morale-of-kids-paperback-wonder-house-books
46,46,9344841482524,1984,"1984: A Novel, unleashes a unique plot as per which No One is Safe or Free. No place is safe to run or even hide from a dominating party leader, Big Brother, who is considered equal to God. This is a situation where everything is owned by the State. The world was seeing the ruins of World War II. Leaders such as Hitler, Stalin and Mussolini prevailed during this phase. Big Brother is always watching your actions. He even controls everyone?s feelings of love, to live and to discover. The basic plot of this historic novel revolves around the concept that no person has freedom to live life on his or her own terms. The present day is 1984.
The whole world is gradually changing. The nations which enjoy freedom, have distorted into unpleasant and degraded places, in turn creating a powerful cartel known as Oceania. This is the world where the Big Brother controls everything. There is another character Winston Smith, who is leading a normal layman life under these harsh circumstances, through hating all of this. He works on writing the old newspaper articles in order to make history or past relevant to today?s party line.
He is efficient enough in spite of hating his bosses. Julia, a young girl who is morally very rigid comes into the fore. She too hates the system as much as Winston does. Gradually, they get into an affair but have to conceal their feelings for each other, as it will not be acceptable by Big Brother. In Big Brother?s bad world, freedom is slavery and ignorance is strength. This historic print is available online at Amazon India.
1984: A Novel, unleashes a unique plot as per which No One is Safe or Free. No place is safe to run or even hide from a dominating party leader, Big Brother, who is considered equal to God. This is a situation where everything is owned by the State. The world was seeing the ruins of World War II. Leaders such as Hitler, Stalin and Mussolini prevailed during this phase. Big Brother is always watching your actions. He even controls everyone?s feelings of love, to live and to discover. The basic plot of this historic novel revolves around the concept that no person has freedom to live life on his or her own terms. The present day is 1984.  The whole world is gradually changing. The nations which enjoy freedom, have distorted into unpleasant and degraded places, in turn creating a powerful cartel known as Oceania. This is the world where the Big Brother controls everything. There is another character Winston Smith, who is leading a normal layman life under these harsh circumstances, through hating all of this. He works on writing the old newspaper articles in order to make history or past relevant to today?s party line.  He is efficient enough in spite of hating his bosses. Julia, a young girl who is morally very rigid comes into the fore. She too hates the system as much as Winston does. Gradually, they get into an affair but have to conceal their feelings for each other, as it will not be acceptable by Big Brother. In Big Brother?s bad world, freedom is slavery and ignorance is strength. This historic print is available online at Amazon India.  About the author:  Eric Arthur Blair who used to write under the pen name George Orwell has authored this piece. He was an English novelist, essayist and journalist besides being a critic. He used to concentrate on subjects like social injustice, resistance to dictatorship and support towards elected communism. Orwell?s work is appreciated by the influential and political world. A Children?s Bookshelf Selection: Each month our editor?s pick the best books for children and young adults by age to be a part of the children?s bookshelf. These are editorial recommendations made by our team of experts. Our monthly reading list includes a mix of bestsellers and top new releases and evergreen books that will help enhance a child?s reading life.
Eric Arthur Blair who used to write under the pen name George Orwell has authored this piece. He was an English novelist, essayist and journalist besides being a critic. He used to concentrate on subjects like social injustice, resistance to dictatorship and support towards elected communism. Orwell?s work is appreciated by the influential and political world.
A Children?s Bookshelf Selection: Each month our editor?s pick the best books for children and young adults by age to be a part of the children?s bookshelf. These are editorial recommendations made by our team of experts. Our monthly reading list includes a mix of bestsellers and top new releases and evergreen books that will help enhance a child?s reading life.",George Orwell,Books › School Books › CBSE,145.0,https://cdn.shopify.com/s/files/1/0868/3490/5372/files/519aYT1iG7L._SY445_SX342.jpg?v=1715061587,https://shopingai.myshopify.com/products/1984
47,47,9343493013788,1984 [Paperback] George Orwell,"Published in the summer of 1949, George Orwell?s nineteen Eighty-Four is one of the most definitive texts of modern literature. Set in Oceania, one of the three inter-continental superstate that divided the world among themselves after a global war, Orwell?s masterful critique of the political structures of the time, works itself out through the story of Winston Smith, a man caught in the webs of a dystopian future, and his clandestine love affair with Julia, a young woman he meets during the course of his work for the government. As much as it is an entertaining read, nineteen Eighty-Four is also a brilliant, and more importantly, a timeless satirical attack on the social and political structures of the world.",George Orwell,Books › Literature & Fiction › Classic Fiction,139.0,https://cdn.shopify.com/s/files/1/0868/3490/5372/files/517USUJAueL._SX342_SY445_e11dd146-342e-44b1-bbdd-f62b744ec536.jpg?v=1715062191,https://shopingai.myshopify.com/products/1984-paperback-george-orwell
48,48,9343565725980,"20,000 Leagues Under The Sea [Paperback] Jules Verne","“The sea is the be all and end all! . . . It's an immense wilderness where a man is never lonely, because he feels life astir on every side.”After several maritime casualties and many vessels spotting a mysterious monstrous creature in the waters, the United States government arranges for an expedition to chase and destroy this creature. Pierre Aronnax, a professor at the Paris Museum and his faithful servant Conseil, join the others aboard the Abraham Lincoln and set out on their search. As a series of adventures follows, will they be able to find this sea monster?One of the debut adventure novels, 20,000 Leagues Under the Sea is Jules Verne’s masterpiece. Published more than a century ago, this classic science fiction continues to be praised by its readers.",Jules Verne,Books › Literature & Fiction › Classic Fiction,200.0,https://cdn.shopify.com/s/files/1/0868/3490/5372/files/51cKHMfRhYS._SX342_SY445.jpg?v=1714995905,https://shopingai.myshopify.com/products/20-000-leagues-under-the-sea-paperback-jules-verne
49,49,9344814121244,"201 Brain Booster Activity Book - Fun Activities and Exercises For Children: Tracing & Pattern, Colors & Shapes, Maze [Paperback] Wonder House Books",Children learn new concepts each day and this boosts their understanding and allows them to think and reason. 201 Brain Booster Activity Book expands the horizons of young learners with over 200 engrossing activities. Gorgeous illustrations will aid in enhancing the critical thinking of young learners and will promote relaxation. Understanding of various topics Develops reasoning and cognitive skills Develops a confident learner Engaging activities A perfect book to stay occupied,Wonder House Books,Books › Children's Books › Early Learning,119.0,https://cdn.shopify.com/s/files/1/0868/3490/5372/files/51vIaIWCoEL._SX342_SY445.jpg?v=1715060117,https://shopingai.myshopify.com/products/201-brain-booster-activity-book-fun-activities-and-exercises-for-children-tracing-pattern-colors-shapes-maze-paperback-wonder-house-books
50,50,9344855933212,"201 Maths Activity Book - Fun Activities and Math Exercises For Children: Knowing Numbers, Addition-Subtraction, Fractions, BODMAS [Paperback] Wonder House Books","Math is fun if the concepts are learnt in an engaging manner. 201 Maths Activity Book does just that and keeps the young mathematicians engrossed with over 200 activities. Covering various concepts of maths, the learners are sure to sharpen their reasoning skills. Gorgeous illustrations will aid in understanding the concepts fully Understanding of various topics Develops reasoning skills Develops a confident learner Engagin activities A perfect book to stay occupied",Wonder House Books,Books › Children's Books › History,119.0,https://cdn.shopify.com/s/files/1/0868/3490/5372/files/51VV9gx5NcL._SX342_SY445.jpg?v=1715062305,https://shopingai.myshopify.com/products/201-maths-activity-book-fun-activities-and-math-exercises-for-children-knowing-numbers-addition-subtraction-fractions-bodmas-paperback-wonder-house-books
