,ProductId,Title,Description,Vendor,ProductType,Price,ImageURL,ProductURL
21,7531070783550,Aavante Bar Tune,Bluetooth v5.3 EQ Modes\n2.0 Channel Sound,simba,SoundBars,7990.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/3_300x_7fdd6070-de1c-4cdc-a3d0-0c314e047e05.png?v=1715238093,https://boatai.myshopify.com/products/aavante-bar-tune
22,7531065409598,Airdopes 115,13mm Drivers BEAST™ Mode,simba,Wireless Earbuds,2990.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/Airdopes-115_1.jpg?v=1715238011,https://boatai.myshopify.com/products/airdopes-115
23,7531067834430,Airdopes 121 PRO,ASAP™ Charge IWP Technology,simba,Wireless Earbuds,2990.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/Airdopes_121_Pro.jpg?v=1715238032,https://boatai.myshopify.com/products/airdopes-121-pro
24,7531061772350,Airdopes 121 v2,Up to 14HRS Playback IWP Technology\nLED Battery Case,simba,Wireless Earbuds,2999.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/121v2.png?v=1715238000,https://boatai.myshopify.com/products/airdopes-121-v2
25,7531061575742,Airdopes 131,13mm drivers IWP Technology,simba,Wireless Earbuds,2990.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/131_f04f74fd-45d4-4614-85cf-6ccf69c4cf90.jpg?v=1715237996,https://boatai.myshopify.com/products/airdopes-131
26,7531062394942,Airdopes 131 PRO,Airdopes 131 PRO Clear Calling BEAST™ Mode\nAdd to cart,simba,Wireless Earbuds,2990.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/AD_131_e7e95f2c-0bb3-492e-89df-613a2cfb792f.jpg?v=1715238004,https://boatai.myshopify.com/products/airdopes-131-pro
27,7531061674046,Airdopes 141,Airdopes 141 Clear Calling ASAP™ Charge\nAdd to cart,simba,Wireless Earbuds,4490.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/AD_141.png?v=1715237998,https://boatai.myshopify.com/products/airdopes-141
28,7531061936190,Airdopes 161,ASAP™ Charge IWP Technology,simba,Wireless Earbuds,2490.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/AD_161.jpg?v=1715238002,https://boatai.myshopify.com/products/airdopes-161
29,7531067703358,Airdopes 161 Pro,Bluetooth V5.3 BEAST™ Mode\nIWP™ Technology,simba,Wireless Earbuds,4990.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/AD_161_Pro_49947db5-298c-40c7-94bc-072faaa427a7.jpg?v=1715238028,https://boatai.myshopify.com/products/airdopes-161-pro
30,7531067605054,Airdopes 170,ENx™ Technology BEAST™ Mode\n13mm Drivers,simba,Wireless Earbuds,3490.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/Airdopes_170.jpg?v=1715238025,https://boatai.myshopify.com/products/airdopes-170
